AssignmentExpression,BinaryExpression,BlockStatement,CallExpression,ControlFlow,ExpressionStatement,Functions,Identifier,Literal,LogicalExpression,MemberExpression,ReturnStatement,UnaryExpression,VariableDeclaration,VariableDeclarator,array_expr_prim_elem,call_expr_str_arg,dom_operations,eval,obj_expr_prop_val,str_Constructor,str_charAt,str_charCodeAt,str_concat,str_fromCharCode,str_replace,str_slice,str_split,str_substring,var_with_str_assign,ConditionalExpression,ObjectExpressions,Property,SequenceExpression,EmptyStatement,Exceptions,Loops,NewExpression,ObjectPattern,TemplateElement,TemplateLiteral,ThisExpression,UpdateExpression,ArrayPattern,BreakStatement,SwitchCase,ContinueStatement,AssignmentPattern,LabeledStatement,Class,Imports,ClassBody,ClassDeclaration,MethodDefinition,Super,AwaitExpression,SpreadElement,RestElement,Exports,ClassExpression,ChainExpression,TaggedTemplateExpression,ExportAllDeclaration,DebuggerStatement,YieldExpression
33,9,23,76,13,49,10,313,1330,37,124,8,12,19,21,51,54,29,0,469,0,0,0,0,0,0,0,0,0,0,2,162,624,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,3762,37,124,8,12,19,21,174,54,29,0,1381,0,0,0,0,0,0,0,0,0,0,2,424,1829,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,4484,37,124,8,12,19,21,246,54,29,0,1653,0,0,0,0,0,0,0,0,0,0,2,522,2177,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,1652,37,124,8,12,19,21,61,54,29,0,599,0,0,0,0,0,0,0,0,0,0,2,200,790,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,1341,37,124,8,12,19,21,48,54,29,0,477,0,0,0,0,0,0,0,0,0,0,2,156,631,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,1510,37,124,8,12,19,21,60,54,29,0,536,0,0,0,0,0,0,0,0,0,0,2,178,718,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,2473,37,124,8,12,19,21,111,54,29,0,909,0,0,0,0,0,0,0,0,0,0,2,290,1189,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,3082,37,124,8,12,19,21,158,54,29,0,1148,0,0,0,0,0,0,0,0,0,0,2,365,1478,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,821,37,124,8,12,19,21,21,54,29,0,283,0,0,0,0,0,0,0,0,0,0,2,105,376,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,23,76,13,49,10,313,4587,37,124,8,12,19,21,211,54,29,0,1706,0,0,0,0,0,0,0,0,0,0,2,546,2250,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Benign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
