ControlFlow,Exceptions,Expressions,Functions,Literal,LogicalExpression,LoopControlFlow,Loops,ObjectExpressions,Pattern,Property,Return,Statements,ThisExpression,VariableDeclarator,arrayManipulation,avg_str_length,concatenation,dom_operations,encodingObfuscation,eval,file_length,funcArgsCallExpression,funcArgsPrimitiveVal,funcReturnString,funcSelfInvoking,stringCount,varConcatenation,varWithArrayExpression,varWithCallExpression,varWithLiteralString,varWithNewExpression,varWithObjExpression,varWithThisExpression,Class
7,0,97,7,28,6,0,1,4,0,7,7,32,7,11,1,3,6,1,1,0,3973,0,3,0,4,16,1,0,4,0,1,2,1,Benign
21,0,147,22,69,10,1,1,12,0,24,2,98,1,18,0,11,2,2,1,0,7897,3,27,0,11,42,0,0,0,0,0,0,0,Benign
3,0,83,11,33,0,0,0,1,0,4,1,34,7,3,0,10,0,2,0,0,1115,0,26,0,10,28,0,0,2,0,1,0,0,Benign
6,2,83,10,70,3,2,3,0,0,0,9,57,3,23,0,6,12,6,0,0,1786,3,6,2,1,40,3,0,4,3,3,0,0,Malicious
6,0,228,9,30,4,0,1,7,0,8,1,47,30,11,2,10,3,1,2,0,5049,7,11,0,2,18,1,0,5,0,0,1,1,Benign
0,0,6,1,40,1,0,0,21,0,20,1,3,0,0,0,38,0,0,0,0,2315,0,18,0,1,40,0,0,0,0,0,0,0,Benign
1,0,67,2,36,0,0,0,0,0,0,3,31,0,1,3,374,0,0,0,1,13854,26,32,0,0,35,0,0,0,0,1,0,0,Malicious
19,2,300,20,474,8,5,11,2,0,0,14,121,3,68,2,79,57,2,11,1,23997,7,13,0,0,132,4,1,20,9,9,0,0,Malicious
79,2,559,57,189,107,3,7,23,0,50,20,323,2,136,1,7,10,3,2,0,7773,2,58,0,19,88,2,3,16,2,0,2,0,Benign
9,0,144,5,64,4,0,0,2,0,2,4,32,0,15,0,10,16,4,2,0,2191,0,29,0,2,47,1,0,9,2,0,1,0,Benign
1,0,19,1,37279,0,0,1,1,0,0,1,9,1,9,1,0,103,1,1,1,89799,0,1,0,0,201,2,1,3,1,1,0,0,Malicious
37,1,409,33,105,16,3,5,6,0,9,25,154,27,37,1,13,11,6,2,0,15879,3,45,0,11,79,3,0,14,1,1,3,0,Benign
417,75,7938,813,1434,661,8,24,455,0,557,618,1395,636,864,91,11,63,39,63,0,93712,150,362,1,301,859,6,28,219,2,29,29,12,Benign
